,NrSal,RS,SalN,SupL,Apa,Gaz,Pensia,Paturi,RataAb,AbsUniv,Volume,Cinema,PIB,Cerc,ProdVeg,ProdAn,Telefonie,Internet,Cazare,ExecB,RataC
NrSal,1.0,-0.514062371265523,0.6762676813651877,0.5625491298087529,0.7481293681885511,0.5908565420999932,0.7582242134642893,0.6965185337494625,-0.045003414321202105,0.7625162493746732,-0.4067254544780083,0.3960568692471235,0.9565612868622696,0.6881498099725367,-0.5380724536564335,-0.5392374913090255,0.7855646282071914,0.5679031176328457,0.38115751957379695,0.8692711105470691,-0.12760153643433622
RS,-0.514062371265523,1.0,-0.2944164503157533,-0.4041913096453057,-0.26451818117702447,-0.33405800363809646,-0.1774241888417063,-0.13262477612043672,-0.1827544246888171,-0.3621828781941839,0.35031177323299034,-0.3429731551787975,-0.5300873388501954,-0.3763216784065897,0.20593807918026277,0.2397910413048764,-0.4389747081584066,-0.29239069749951246,-0.32540756087761513,-0.4737690199188127,0.040788559225652346
SalN,0.6762676813651878,-0.29441645031575325,1.0,0.3523830136301131,0.5397251372766285,0.3385417738890317,0.5361563376063576,0.3618289183455715,-0.13377775846255635,0.6560576285057154,-0.6813542237147986,0.3411964552663456,0.7863237317092984,0.7684596155870338,-0.6319878721973812,-0.56998154281826,0.49437577279528555,0.04391999353856325,0.10409960066419457,0.7420766641732469,-0.37358560952397823
SupL,0.5625491298087529,-0.4041913096453057,0.3523830136301131,1.0,0.16073466856379248,0.4155874870529937,0.17498710064703923,0.17040330836494175,-0.0036514333247516565,0.1535070234271436,-0.20640399450630506,-0.10599206984334694,0.5986462485594617,0.3596388155649504,-0.23887067655970687,-0.1670760186865497,0.20407985596048542,0.22660071388292957,0.10520375777104818,0.6057425036946584,-0.263284342583786
Apa,0.748129368188551,-0.26451818117702447,0.5397251372766285,0.1607346685637925,1.0,0.4470306132695217,0.6880527954174818,0.6420627595557836,0.09383873525000261,0.809353991247751,-0.14784088994999578,0.5100098543603351,0.7013836592965371,0.5033980036323745,-0.46760632971557214,-0.44759601740641014,0.7807933774231103,0.3965790060907147,0.4339149624752689,0.5966938257803028,-0.1048600999754721
Gaz,0.5908565420999932,-0.3340580036380965,0.3385417738890317,0.4155874870529937,0.4470306132695217,0.9999999999999998,0.5472352421586577,0.4679539366531947,-0.02709211002873397,0.40496292389117367,-0.18218883025206553,0.02059422257739463,0.5841604921442028,0.4398574498621364,-0.5102452478450851,-0.1516893658977496,0.41163763474559245,0.20810724295215807,0.17162131991817775,0.45566770367837317,-0.00991389661386774
Pensia,0.7582242134642893,-0.17742418884170633,0.5361563376063576,0.17498710064703923,0.6880527954174818,0.5472352421586577,1.0,0.6755831033548375,-0.12328405911925405,0.7289467760079315,-0.33942924610697744,0.31276435426305227,0.6988015071837985,0.5168618956307779,-0.6553448360065073,-0.5945454999557811,0.7061991205735055,0.43597701957036944,0.3797130945918548,0.510232869874255,0.050309584625829115
Paturi,0.6965185337494624,-0.13262477612043672,0.3618289183455715,0.17040330836494177,0.6420627595557836,0.4679539366531947,0.6755831033548375,1.0,-0.2120199402005327,0.700347320750745,-0.03807338027430249,0.3019714975667686,0.6289618825450279,0.4814556953697173,-0.45351236511652787,-0.3498244275412795,0.6813775589599584,0.49398295899472844,0.19839418546891374,0.5241042254910202,-0.03648583408175785
RataAb,-0.045003414321202105,-0.18275442468881709,-0.13377775846255635,-0.003651433324751657,0.0938387352500026,-0.027092110028733966,-0.12328405911925405,-0.21201994020053264,1.0,0.027733972162437323,-0.01072523724341077,0.20719790455384213,-0.09249857855157685,-0.11719295125591069,0.285270912636588,0.06520588303707688,0.0530645601454981,0.06666664826134902,0.2654244440628671,-0.009769045871004106,0.05061070793645942
AbsUniv,0.7625162493746732,-0.3621828781941839,0.6560576285057154,0.15350702342714362,0.809353991247751,0.40496292389117367,0.7289467760079315,0.700347320750745,0.027733972162437327,1.0,-0.4018917069883596,0.46347731467684894,0.7545798938821645,0.6927098698882503,-0.502821008762656,-0.6040589598083632,0.8709697417808201,0.45950503071915805,0.2775943631884446,0.6374218679634621,-0.09532299663831374
