,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
NrSal,0.9502879395372457,0.06290149677631361,-0.06814954854017485,0.19484549361778156,-0.0021261489309971206,-0.009841607023400327,-0.058055038166496514,-0.02270472323832617,0.09776305825643744,0.09501102987018883,0.08427033383883856,0.0028831473420246776,-0.016410154387719995,0.058955255020674495,0.0019392399060451913,-0.07286602419792439,0.03854839535366024,-0.04394113128799901,0.010664186930616241,0.016733507111838842,0.08852430891978787
RS,-0.50482440218446,-0.029309940032740383,-0.36153272211293375,-0.43659722064302053,-0.3458917101665265,-0.06536047390854363,0.19243235909868314,0.34444622038985623,0.29864177913241974,0.14778922246040424,0.10372212472701797,0.02452939753098851,0.06784304631189725,0.014901154472397031,-0.07535479729807752,0.09800095545797385,0.02148574612097691,0.014153669279256374,0.012895151790274919,0.0028720196436597097,0.007172146209456315
SalN,0.7791548271307507,-0.45175001410194837,0.12948502888985466,-0.16370977974995904,-0.05676365576931088,-0.126464099473442,0.07540127494563859,-0.004785875175688437,0.07002904445637208,-0.10308582828022514,0.21877916141869874,0.02333020331991218,0.06923426709379484,-0.0947485273172009,0.1731831720541149,0.03191727007255265,-0.04603170782450491,-0.08586725792026835,0.02415235501156124,-0.038884897672918806,-0.006343229702953196
SupL,0.4481786571310772,-0.3169488081296637,-0.05324696511956715,0.697238757526435,-0.012916404653328545,0.0823861473846092,-0.1695208740623145,0.1571567838493903,0.29787575543801914,-0.0041498645943608805,-0.06306376112603386,-0.09446011151417422,-0.1309002414042556,-0.1512715675471075,-0.03189748567762721,0.0601574059347144,0.042174533793923025,0.013350410888017862,-0.02193994812717784,-0.022423997800669022,-0.008363306318742372
Apa,0.7966982960967631,0.3204942133665009,0.0029400563529885554,-0.12494167276526327,-0.18373367604903038,0.006182641996076515,0.2539828257779762,-0.02986481374086387,0.09441569724752787,-0.24527318189798875,0.09151574859592528,-0.15653549336482578,-0.07639033935862244,0.07369563504664227,-0.11185839076052975,-0.10935366087707765,0.08034842200316865,-0.05104612699556252,-0.012777118407929972,-0.007641293756060385,-0.02772585448644679
Gaz,0.5841206010899119,-0.043804334984140804,-0.2982234333001027,0.2661415785806652,0.07399847299819902,0.5520444871229011,0.29365449247853725,-0.08324029989267794,-0.08757189801719516,0.07031768946426174,-0.024439269396878207,-0.07866961277848386,0.2655873188049599,-0.04321200117477355,-0.036049820954702334,0.022260678411534823,-0.0038935622845474435,-0.007945119542588157,-0.00514356379009162,-0.003951857364718355,-0.0024417592841706496
Pensia,0.8034567980164776,0.17483008809559997,-0.22877581461996682,-0.25661746478693787,0.015461107283178831,0.20905639722237376,-0.0021598994299299383,0.20212545848831168,-0.06629386599726352,0.19622481879539608,0.10863913794675951,-0.09482074336766276,-0.11310632033037608,-0.010446051332138398,0.14963218360112476,-0.11194091539140415,-0.01836982422477165,0.0874325145078262,-0.03421156928201194,-0.01056691602613389,-0.010887220590297886
Paturi,0.7046357654610068,0.2753710156976151,-0.40367107781003425,-0.10468452745364948,-0.2184833689196142,-0.03800486570103535,0.06967748770193041,-0.18150747553273977,0.06473311740469666,0.15931799795222035,-0.23390528298567242,0.2295520487548181,-0.07728241322271315,-0.11784156983938571,-0.02159896525133418,-0.07122021094540355,-0.03160408501380257,-0.05169534696372553,0.01821231976895208,-0.012461570475082062,-0.015365920848313234
RataAb,-0.04355271090084596,0.3419890296785342,0.578328001311694,0.27050718596746604,0.23825491556424935,-0.022325146639322016,0.5315280720096637,0.31865704473570017,0.04545116565625244,0.011128470183980688,-0.0866806214598024,0.12769566696901646,-0.030525787659003524,-0.021045085032349253,0.0649848229377595,-0.011713071334529363,0.014408499309256993,-0.0027448896515679844,0.01010312389920524,0.01071738084025256,0.002155857680898805
AbsUniv,0.8726395581557866,0.16989401341092966,-0.01894857218119537,-0.20557014967282633,0.0313221099663226,-0.21250214724172795,0.18803829591344565,-0.06667824352529061,-0.08026009259352886,-0.016079288484424224,-0.06821975472974912,-0.13344123686414017,-0.07519375254311592,-0.0649534708429067,-0.026467074486157597,0.14863762335666156,-0.10560226700713687,-0.015847403664355112,-0.08180504410410626,0.02977107459808479,0.016330224700430294
