Code,Thermal,Nuclear,Hydro,Other
AT,34.76,0.0,60.15,5.08
BE,49.96,32.35,7.78,9.91
BG,45.6,18.86,30.39,5.15
CH,5.24,18.0,75.91,0.85
CY,94.07,0.0,0.0,5.93
CZ,58.77,19.43,10.95,10.85
DE,49.18,13.04,7.02,30.76
DK,72.14,0.0,0.07,27.79
EE,95.86,0.0,0.22,3.93
EL,70.11,0.0,19.97,9.92
ES,49.58,7.29,18.21,24.92
FI,63.8,16.2,18.84,1.17
FR,22.99,50.71,20.46,5.84
HR,46.13,0.0,51.95,1.92
HU,73.95,22.19,0.59,3.27
IE,74.85,0.0,6.22,18.93
IT,70.11,0.0,20.21,9.68
LT,71.04,0.0,24.54,4.43
LU,29.95,0.0,65.82,4.24
LV,37.19,0.0,61.63,1.17
MT,100.0,0.0,0.0,0.0
NL,88.97,1.91,0.14,8.98
NO,4.88,0.0,93.64,1.48
PL,89.66,0.0,7.02,3.32
PT,52.18,0.0,26.92,20.9
RO,58.45,7.09,32.51,1.95
SE,23.9,24.62,45.9,5.57
SI,39.49,20.86,39.27,0.38
SK,44.4,23.11,31.95,0.53
TR,65.18,0.0,31.97,2.86
UK,77.83,11.63,4.7,5.84
