,NrSal,RS,SalN,SupL,Apa,Gaz,Pensia,Paturi,RataAb,AbsUniv,Volume,Cinema,PIB,Cerc,ProdVeg,ProdAn,Telefonie,Internet,Cazare,ExecB,RataC
NrSal,1.0,-0.5140623712655231,0.6762676813651877,0.5625491298087529,0.7481293681885512,0.5908565420999933,0.7582242134642893,0.6965185337494624,-0.04500341432120209,0.7625162493746732,-0.4067254544780083,0.3960568692471235,0.9565612868622696,0.6881498099725367,-0.5380724536564335,-0.5392374913090255,0.7855646282071914,0.5679031176328458,0.38115751957379695,0.8692711105470692,-0.1276015364343363
RS,-0.5140623712655231,1.0,-0.2944164503157533,-0.4041913096453057,-0.2645181811770245,-0.3340580036380965,-0.17742418884170633,-0.13262477612043672,-0.18275442468881714,-0.362182878194184,0.3503117732329903,-0.34297315517879756,-0.5300873388501955,-0.3763216784065897,0.20593807918026277,0.23979104130487647,-0.4389747081584066,-0.2923906974995126,-0.32540756087761524,-0.4737690199188127,0.04078855922565232
SalN,0.6762676813651878,-0.2944164503157533,1.0,0.35238301363011304,0.5397251372766285,0.3385417738890317,0.5361563376063576,0.36182891834557146,-0.13377775846255632,0.6560576285057155,-0.6813542237147987,0.34119645526634557,0.7863237317092984,0.768459615587034,-0.6319878721973811,-0.56998154281826,0.49437577279528555,0.0439199935385633,0.10409960066419453,0.7420766641732469,-0.3735856095239782
SupL,0.5625491298087529,-0.4041913096453057,0.35238301363011304,1.0,0.16073466856379248,0.41558748705299364,0.17498710064703915,0.17040330836494172,-0.0036514333247516556,0.15350702342714356,-0.20640399450630512,-0.10599206984334693,0.5986462485594617,0.35963881556495036,-0.2388706765597068,-0.16707601868654967,0.20407985596048536,0.22660071388292957,0.10520375777104815,0.6057425036946584,-0.26328434258378597
Apa,0.7481293681885512,-0.2645181811770245,0.5397251372766285,0.16073466856379248,1.0,0.4470306132695217,0.6880527954174818,0.6420627595557835,0.09383873525000262,0.809353991247751,-0.14784088994999578,0.5100098543603351,0.701383659296537,0.5033980036323745,-0.4676063297155721,-0.44759601740641014,0.7807933774231103,0.39657900609071484,0.4339149624752689,0.5966938257803026,-0.10486009997547209
Gaz,0.5908565420999933,-0.3340580036380965,0.3385417738890317,0.41558748705299364,0.4470306132695217,1.0,0.5472352421586577,0.4679539366531946,-0.027092110028733983,0.40496292389117367,-0.1821888302520655,0.020594222577394624,0.5841604921442028,0.4398574498621364,-0.5102452478450851,-0.1516893658977496,0.4116376347455925,0.20810724295215804,0.17162131991817775,0.45566770367837317,-0.009913896613867738
Pensia,0.7582242134642893,-0.17742418884170633,0.5361563376063577,0.17498710064703912,0.6880527954174818,0.5472352421586577,1.0,0.6755831033548372,-0.12328405911925405,0.7289467760079317,-0.33942924610697744,0.31276435426305227,0.6988015071837985,0.5168618956307779,-0.6553448360065072,-0.5945454999557811,0.7061991205735055,0.43597701957036955,0.3797130945918548,0.5102328698742549,0.050309584625829074
Paturi,0.6965185337494623,-0.13262477612043672,0.36182891834557146,0.17040330836494175,0.6420627595557835,0.4679539366531946,0.6755831033548372,0.9999999999999998,-0.21201994020053255,0.7003473207507447,-0.038073380274302494,0.3019714975667685,0.6289618825450277,0.4814556953697173,-0.4535123651165277,-0.34982442754127946,0.6813775589599583,0.49398295899472844,0.19839418546891366,0.5241042254910201,-0.03648583408175784
RataAb,-0.0450034143212021,-0.18275442468881714,-0.13377775846255632,-0.0036514333247516565,0.09383873525000262,-0.027092110028733983,-0.12328405911925405,-0.21201994020053255,1.0,0.027733972162437386,-0.010725237243410795,0.20719790455384213,-0.09249857855157684,-0.11719295125591069,0.28527091263658794,0.06520588303707688,0.05306456014549811,0.06666664826134903,0.265424444062867,-0.00976904587100411,0.05061070793645938
AbsUniv,0.7625162493746732,-0.362182878194184,0.6560576285057155,0.1535070234271436,0.809353991247751,0.40496292389117367,0.7289467760079316,0.7003473207507448,0.02773397216243739,1.0,-0.4018917069883596,0.46347731467684894,0.7545798938821646,0.6927098698882503,-0.502821008762656,-0.6040589598083631,0.87096974178082,0.45950503071915816,0.2775943631884446,0.6374218679634621,-0.09532299663831376
