,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
NrSal,0.9502879395372459,0.06290149677631363,-0.06814954854017496,0.19484549361778136,-0.0021261489309970846,-0.009841607023400247,-0.058055038166496646,-0.022704723238326688,0.09776305825643636,0.09501102987018838,0.08427033383883811,0.0028831473420245996,-0.016410154387720217,0.058955255020673114,0.0019392399060451145,-0.07286602419792461,0.038548395353660884,-0.04394113128799733,0.0106641869306141,0.01673350711182788,0.08852430891978325
RS,-0.5048244021844593,-0.029309940032740824,-0.36153272211293286,-0.436597220643022,-0.3458917101665259,-0.06536047390854326,0.19243235909868336,0.34444622038985534,0.2986417791324196,0.1477892224604039,0.10372212472701853,0.02452939753098916,0.06784304631189671,0.014901154472397636,-0.07535479729807741,0.09800095545797435,0.02148574612097645,0.014153669279255723,0.012895151790274995,0.002872019643658859,0.007172146209456122
SalN,0.7791548271307505,-0.45175001410194876,0.1294850288898552,-0.16370977974995937,-0.056763655769310334,-0.12646409947344184,0.07540127494563886,-0.0047858751756889506,0.07002904445637143,-0.10308582828022554,0.21877916141869921,0.023330203319912434,0.0692342670937952,-0.09474852731719892,0.17318317205411582,0.03191727007255167,-0.04603170782450564,-0.08586725792026892,0.0241523550115609,-0.038884897672917654,-0.006343229702955972
SupL,0.448178657131077,-0.3169488081296619,-0.0532469651195687,0.6972387575264363,-0.012916404653328998,0.08238614738460938,-0.16952087406231445,0.15715678384938944,0.2978757554380195,-0.004149864594360646,-0.06306376112603285,-0.09446011151417352,-0.13090024140425524,-0.15127156754710785,-0.03189748567762659,0.060157405934715705,0.04217453379392255,0.013350410888017214,-0.021939948127177197,-0.022423997800668147,-0.008363306318744221
Apa,0.7966982960967631,0.32049421336650025,0.002940056352989039,-0.12494167276526388,-0.18373367604903004,0.00618264199607647,0.2539828257779762,-0.029864813740864703,0.09441569724752792,-0.24527318189798883,0.09151574859592523,-0.15653549336482492,-0.07639033935862345,0.07369563504663966,-0.11185839076053139,-0.1093536608770775,0.08034842200316825,-0.05104612699556346,-0.012777118407929267,-0.007641293756056465,-0.027725854486445302
Gaz,0.5841206010899117,-0.04380433498414026,-0.29822343330010287,0.2661415785806645,0.07399847299819706,0.5520444871229013,0.29365449247853775,-0.08324029989267782,-0.0875718980171948,0.07031768946426191,-0.024439269396877992,-0.07866961277848444,0.2655873188049596,-0.0432120011747728,-0.03604982095470221,0.02226067841153534,-0.003893562284547719,-0.007945119542588483,-0.005143563790091569,-0.003951857364717962,-0.0024417592841709268
Pensia,0.8034567980164771,0.17483008809559972,-0.22877581461996627,-0.2566174647869387,0.015461107283177853,0.2090563972223736,-0.002159899429929396,0.20212545848831165,-0.06629386599726324,0.19622481879539588,0.10863913794676057,-0.09482074336766298,-0.11310632033037608,-0.010446051332139201,0.1496321836011231,-0.11194091539140451,-0.018369824224770327,0.0874325145078269,-0.03421156928201119,-0.010566916026133067,-0.010887220590298768
Paturi,0.7046357654610065,0.27537101569761485,-0.40367107781003425,-0.10468452745365062,-0.21848336891961426,-0.03800486570103616,0.06967748770193025,-0.18150747553274016,0.06473311740469712,0.15931799795222054,-0.23390528298567298,0.22955204875481816,-0.07728241322271208,-0.11784156983938615,-0.021598965251333046,-0.07122021094540319,-0.031604085013803414,-0.05169534696372595,0.018212319768952132,-0.012461570475079911,-0.015365920848312852
RataAb,-0.04355271090084592,0.3419890296785337,0.5783280013116943,0.27050718596746637,0.23825491556424883,-0.022325146639320927,0.5315280720096636,0.31865704473569995,0.04545116565625317,0.011128470183980561,-0.08668062145980278,0.1276956669690162,-0.030525787659003104,-0.021045085032349004,0.0649848229377598,-0.011713071334529635,0.014408499309256936,-0.002744889651567741,0.010103123899205054,0.010717380840252314,0.002155857680899716
AbsUniv,0.8726395581557865,0.16989401341092888,-0.01894857218119443,-0.20557014967282683,0.03132210996632346,-0.21250214724172753,0.18803829591344542,-0.06667824352529034,-0.08026009259352909,-0.01607928848442454,-0.06821975472974873,-0.13344123686413994,-0.07519375254311601,-0.06495347084290556,-0.026467074486156154,0.14863762335666175,-0.10560226700713725,-0.015847403664353527,-0.08180504410410652,0.029771074598082644,0.016330224700431516
Volume,-0.5107395905868235,0.5654298229674207,-0.34788516884810944,0.19175307422885424,-0.2961232335186394,0.056041088974448025,-0.013519785571950512,-0.056968920873364574,0.17765582327407314,-0.2689760615146206,-0.13781146908687888,-0.04662951648373429,0.04636911829903323,0.05214645645791574,0.1873055500061148,0.02883193567708836,-0.026524340132197902,0.02385123817519763,0.0063235631501966615,0.008278348405411511,0.011919469307716684
Cinema,0.46434125538341026,0.3718038681490052,0.6068361418149814,-0.2868290045436978,-0.1303443114916198,0.05606291349098944,-0.12389531491832204,-0.2807503925127367,0.17585312009567144,0.04418198954655108,0.03989304017576839,0.06866733467076429,0.11011282434681242,-0.10742261512495026,0.019774243614478024,0.038162260496372315,0.10756587367775516,0.05853299103377932,-0.04036495587321185,0.001315004864956336,0.001461410437419126
PIB,0.9518838702438434,-0.10711791383971819,-0.005574625034198156,0.185520051649683,-0.05211679124720607,-0.002348611081003883,-0.04625263298295998,-0.07136566162093572,0.07575945357762959,0.03686489402784589,0.11730710459775417,0.0141385869158694,-0.019471020429449443,0.01575819324275078,0.02405601312170792,0.030648089423181053,-0.013248484911878114,0.018476490050336632,0.07074812286014405,0.09006603609260737,-0.03465751869632761
Cerc,0.7752609905731844,-0.4240027789444056,0.056800417234923115,-0.1012911643932378,0.037851321918852016,-0.0810035917922029,0.1616638614646819,-0.1745534939760761,0.048034812750566175,0.12833333247208825,-0.2167479600030775,-0.06457328253385401,-0.04782291394251136,0.2203421556688123,0.06496923053035185,0.09450893581753565,0.07000443530985437,0.024575571278220125,0.028336231391458026,-0.029234132657990367,-0.00533428394732445
ProdVeg,-0.6778075581648355,0.2950637263661374,0.20698837021277716,0.27097456455010455,-0.015813105085319367,-0.3454870923783169,0.07875535803763269,-0.1898560184652059,0.17653079851808082,0.27060692020613597,0.03662698695554246,-0.2224276522293836,0.08289288109978135,-0.004745270192548507,-0.004640235010670343,-0.07705896657665312,-0.08100635744169331,-0.00599371114933292,0.021130135068854965,-0.013172687412157557,-0.010279444775623458
ProdAn,-0.6685277976249185,0.06424115704511216,-0.1476324255687231,0.3921015031828177,-0.21385050003454198,0.07684999197410466,0.29277362630708664,-0.31074084383456907,-0.10881974464718717,0.04891407779813645,0.28017099037860954,0.11807596443163425,-0.15939627305704546,0.02710261953957924,-0.000660426025415927,0.07174050144188117,0.007003420931556584,0.031180260528778217,-0.014154497457018475,-0.01698874461823337,0.004402878123473789
Telefonie,0.8329326832090236,0.3734174053617368,-0.1359957437197594,-0.026621396000521547,0.16205674119190863,-0.22187287725092394,0.02727710828322818,0.020118417348196475,-0.11280876487231903,-0.14028760026715445,0.035385566262596736,-0.02141380072455765,0.01735666451301642,-0.08925268026907518,-0.08306142702907983,0.04121818672424346,-0.018898950327934642,0.0968981851950236,0.0926365553952552,-0.03696800696444896,0.016221835681204035
Internet,0.4667108764261609,0.5625426317320463,-0.26024123593256326,0.339000352943314,0.011057789724104887,-0.33398317311261416,-0.1928586981425055,0.17956996336474418,-0.22331966331816733,0.11831829373680905,0.06485996021181824,0.03419792492304373,0.09693104498328305,0.05507320108719067,0.039389360776952556,0.07399851128813824,0.09720303184248615,-0.04978532425874979,-0.027951723005646942,-0.007708692890349296,-0.022409843601994533
Cazare,0.3953256774523755,0.4386471787027662,0.5234357054927453,0.025436928845244455,-0.32037192331875003,0.3984687270648798,-0.23677348603528212,0.1335906586543152,-0.0497349374751988,0.06880353266958734,0.0074342304267869955,-0.00673913167712871,-0.05889096047875662,0.09916777201483123,-0.046858824567051115,0.076681873216352,-0.09741676075925006,-0.03900187798333064,0.0327124933497232,-0.0240532496584474,-0.0020928004244635
ExecB,0.8558875148947553,-0.1812409347017002,0.01397633284804995,0.25847629673473616,-0.00011430901398327398,-0.16690391451140096,-0.03565921199946532,0.03911533406654803,0.16640486237091764,-0.08752517963318791,0.04678019228456969,0.19018235383355456,0.11793392791579523,0.15485611935364366,-0.05944718207603247,-0.055215742769588516,-0.1056780347422084,0.05990897182444962,-0.06113485468526336,-0.013144060641772108,-0.009835659895204988
RataC,-0.1846512095806984,0.43462460979692497,-0.2508321474315654,-0.19622129918321893,0.7169146818818057,0.19121881612190425,-0.09315449561894186,-0.10819198521734488,0.28458740628246826,0.008571691054369333,0.0996290271290109,0.04469406649903635,-0.056019557722037566,0.05779495990746821,-0.0022093937405869243,0.058047900937139636,-0.01735355304354384,-0.03700443141785672,0.0007946922315352477,-0.007914512915450436,-0.009881845764316853
