,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
NrSal,-0.9502879395372457,0.0629014967763136,-0.06814954854017298,0.19484549361778214,-0.0021261489309975326,-0.009841607023399708,0.0580550381664961,0.022704723238325286,0.09776305825643736,-0.0950110298701894,0.08427033383883809,0.002883147342024783,0.01641015438772002,-0.0589552550206733,0.001939239906044755,0.07286602419792379,-0.03854839535366018,-0.043941131287997204,0.010664186930613908,0.016733507111833853,-0.08852430891978413
RS,0.5048244021844597,-0.029309940032740775,-0.3615327221129384,-0.4365972206430184,-0.34589171016652637,-0.06536047390854466,-0.19243235909868248,-0.3444462203898569,0.2986417791324182,-0.14778922246040369,0.10372212472701708,0.024529397530988713,-0.06784304631189671,-0.014901154472397118,-0.07535479729807742,-0.09800095545797476,-0.02148574612097679,0.014153669279255826,0.012895151790274971,0.0028720196436593827,-0.007172146209456409
SalN,-0.7791548271307511,-0.45175001410194815,0.12948502888985305,-0.16370977974996073,-0.05676365576931072,-0.12646409947344234,-0.07540127494563807,0.004785875175688021,0.07002904445637206,0.10308582828022479,0.21877916141869908,0.023330203319912066,-0.06923426709379525,0.09474852731720018,0.17318317205411607,-0.03191727007254995,0.04603170782450508,-0.08586725792026732,0.02415235501156165,-0.03888489767291776,0.006343229702956337
SupL,-0.44817865713107696,-0.3169488081296617,-0.05324696511956057,0.6972387575264368,-0.012916404653328793,0.08238614738461078,0.1695208740623141,-0.15715678384939166,0.29787575543801925,0.004149864594361141,-0.0630637611260334,-0.09446011151417386,0.13090024140425485,0.15127156754710755,-0.03189748567762721,-0.06015740593471498,-0.04217453379392259,0.013350410888016959,-0.021939948127177162,-0.022423997800668845,0.008363306318744277
Apa,-0.7966982960967635,0.3204942133665002,0.002940056352987457,-0.12494167276526384,-0.18373367604903063,0.006182641996074999,-0.2539828257779769,0.02986481374086376,0.09441569724752889,0.24527318189798816,0.09151574859592586,-0.15653549336482525,0.0763903393586236,-0.07369563504664067,-0.11185839076053064,0.10935366087707614,-0.08034842200316734,-0.05104612699556318,-0.01277711840792905,-0.007641293756058547,0.027725854486445597
Gaz,-0.584120601089912,-0.043804334984139985,-0.2982234333000997,0.2661415785806673,0.0739984729981974,0.5520444871228991,-0.2936544924785404,0.08324029989267799,-0.08757189801719559,-0.07031768946426152,-0.024439269396878772,-0.07866961277848407,-0.2655873188049599,0.043212001174773064,-0.036049820954702334,-0.022260678411535298,0.0038935622845477362,-0.007945119542588497,-0.005143563790091392,-0.003951857364718143,0.002441759284170956
Pensia,-0.8034567980164775,0.17483008809559947,-0.22877581461996904,-0.2566174647869364,0.01546110728317778,0.20905639722237349,0.0021598994299288745,-0.20212545848831123,-0.06629386599726438,-0.19622481879539674,0.10863913794675908,-0.09482074336766351,0.11310632033037522,0.010446051332138447,0.14963218360112374,0.11194091539140553,0.018369824224770445,0.08743251450782587,-0.03421156928201177,-0.010566916026134033,0.01088722059029894
Paturi,-0.704635765461007,0.27537101569761463,-0.4036710778100348,-0.10468452745364609,-0.21848336891961403,-0.03800486570103565,-0.06967748770193018,0.1815074755327398,0.06473311740469738,-0.1593179979522195,-0.2339052829856723,0.2295520487548186,0.07728241322271309,0.11784156983938585,-0.021598965251333185,0.07122021094540354,0.03160408501380352,-0.05169534696372517,0.018212319768952556,-0.012461570475080695,0.01536592084831321
RataAb,0.04355271090084602,0.34198902967853306,0.5783280013116959,0.27050718596746076,0.23825491556424921,-0.02232514663932584,-0.5315280720096637,-0.3186570447356999,0.04545116565625171,-0.011128470183980147,-0.08668062145980246,0.12769566696901644,0.03052578765900343,0.0210450850323489,0.06498482293775966,0.0117130713345301,-0.01440849930925716,-0.00274488965156765,0.010103123899204976,0.010717380840252514,-0.0021558576808997265
AbsUniv,-0.8726395581557876,0.16989401341092875,-0.01894857218119697,-0.20557014967282622,0.031322109966323244,-0.21250214724172925,-0.18803829591344434,0.06667824352529095,-0.08026009259352855,0.01607928848442452,-0.06821975472974863,-0.13344123686414008,0.07519375254311561,0.0649534708429059,-0.026467074486156317,-0.1486376233566614,0.10560226700713689,-0.01584740366435539,-0.08180504410410656,0.029771074598082835,-0.016330224700431686
Volume,0.5107395905868239,0.5654298229674212,-0.3478851688481064,0.1917530742288581,-0.2961232335186395,0.05604108897444892,0.013519785571950178,0.0569689208733631,0.1776558232740736,0.2689760615146216,-0.13781146908687897,-0.046629516483733875,-0.04636911829903382,-0.052146456457915207,0.18730555000611457,-0.028831935677087292,0.02652434013219733,0.023851238175197565,0.0063235631501963735,0.008278348405412363,-0.011919469307716745
Cinema,-0.46434125538341026,0.37180386814900485,0.606836141814977,-0.2868290045437038,-0.1303443114916195,0.05606291349099139,0.12389531491832116,0.28075039251273504,0.17585312009567244,-0.04418198954655086,0.039893040175768085,0.06866733467076408,-0.11011282434681206,0.10742261512495044,0.019774243614477018,-0.03816226049637166,-0.10756587367775543,0.058532991033778264,-0.040364955873212274,0.0013150048649560428,-0.0014614104374192662
PIB,-0.9518838702438446,-0.10711791383971819,-0.005574625034195945,0.18552005164968305,-0.052116791247206175,-0.002348611081003264,0.04625263298295981,0.07136566162093506,0.07575945357763011,-0.03686489402784614,0.11730710459775373,0.014138586915869167,0.019471020429449332,-0.01575819324275063,0.02405601312170844,-0.03064808942318049,0.013248484911877516,0.018476490050337264,0.07074812286014347,0.09006603609260519,0.03465751869632768
Cerc,-0.7752609905731859,-0.4240027789444048,0.056800417234922115,-0.10129116439323843,0.03785132191885218,-0.08100359179220425,-0.16166386146468195,0.17455349397607645,0.048034812750566196,-0.12833333247208692,-0.21674796000307778,-0.06457328253385353,0.04782291394251093,-0.2203421556688119,0.0649692305303512,-0.09450893581753651,-0.07000443530985484,0.024575571278220715,0.02833623139145825,-0.02923413265799025,0.00533428394732433
